x_mm,y_mm,cold_34c,hot_100c,delta
59.0,320.0,-0.24438,-0.01250,0.23187
88.0,320.0,-0.23875,-0.00875,0.23000
117.0,320.0,-0.24875,-0.01000,0.23875
146.0,320.0,-0.25125,-0.01188,0.23937
175.0,320.0,-0.25562,-0.01375,0.24187
204.0,320.0,-0.25250,-0.01188,0.24063
233.0,320.0,-0.24125,0.00063,0.24187
262.0,320.0,-0.23250,-0.00375,0.22875
291.0,320.0,-0.26562,-0.04688,0.21875
320.0,320.0,-0.31125,-0.09688,0.21438
